Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link;;;
Hexagon (Cabinet Vision); Application Engineer II, Division Production Software (2739); ; 4/14/26; Rejected; 5/14/2026;; https://www.glassdoor.com/job-listing/application-engineer-ii-division-production-software-hexagon-manufacturing-intelligence-JV_KO0,52_KE53,87.htm?jl=1010099688906&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos10-agept-1010099688906&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm6pln52kuqf800-b588a8941d0963c8&cs=1_1a94a38c&s=224&t=JA&pos=110&ja=396299206&guid=0000019d8d70843ea0d1084f5a134ef6&jobListingId=1010099688906&vt=e&cb=1776197230080&ctt=1776199157439&srs=EMAIL_JOB_ALERT&gdir=1;;;
Verisma Systems; Sr. Software Engineer; 130-140k; 4/14/26;Open; 4/14/26;; https://www.glassdoor.com/job-listing/sr-software-engineer-verisma-JV_KO0,20_KE21,28.htm?jl=1010099875480&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos3-agept-1010099875480&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm66mqejh71r80a-5cadff351f893e1a&cs=1_85622266&s=224&t=JA&pos=103&ja=378462087&guid=0000019d8c5e36e5a161fe6cf25ab645&jobListingId=1010099875480&vt=e&cb=1776177343256&ctt=1776178957634&srs=EMAIL_JOB_ALERT&gdir=1;;;
Arcaris Health Group; Software Developer; ; 4/14/26;Open; 4/14/26;; https://www.glassdoor.com/job-listing/software-developer-arcaris-health-group-JV_KO0,18_KE19,39.htm?jl=1010100224599&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos7-agejp-1010100224599&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm66mqejh71r80a-3ba9be8d01c27996&cs=1_4e0fd062&s=224&t=JA&pos=107&ja=378462087&guid=0000019d8c5e36e5a161fe6cf25ab645&jobListingId=1010100224599&ea=1&vt=e&cb=1776177343258&ctt=1776178968239&srs=EMAIL_JOB_ALERT&gdir=1;;;
Edge Global LLC; .NET Azure Lead / Senior Developer; ; 04/15/26;Open; 04/15/26;; ;;; Received e-mail job description,  Replied that I am interested and attached resume.
Hirevue; Senior Software Engineer;  ; 4/15/26; Closed; 6/9/26;; https://www.linkedin.com/jobs/view/4391733592/?trackingId=23DYrAR3QIO9YW9O4OXFEg%3D%3D&refId=xk2xWCn5Ttuf%2BF8A4xAJHg%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3y7W3_wM-BJIc1&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4391733592&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4391733592-null-mw6pip~mnz9bq0g~m1-null-null&eid=mw6pip-mnz9bq0g-m1&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYjY4ZmM3ZDU0OTlkYTk4ZTZkN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlZWUxZmE2MTllZTJjNjYwYjdkZDdmOGQ4YTVhYTZiNjlhY2U0ZThmNWMyOGU0ZGUsMSwx;;; Position Closed
Dayforce; Software Developer III; 92-165/yr; 4/15/26;Open; 4/15/26;; https://www.linkedin.com/jobs/view/4382795909/?trackingId=trghHzhbRhihMdb%2FSn6Kqw%3D%3D&refId=T99O0zbwT7OEKj0XE61ZtA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3y7W3_wM-BJIc1&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4382795909&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4382795909-null-mw6pip~mnz9bq0g~m1-null-null&eid=mw6pip-mnz9bq0g-m1&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYjY4ZmM3ZDU0OTlkYTk4ZTZkN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlZWUxZmE2MTllZTJjNjYwYjdkZDdmOGQ4YTVhYTZiNjlhY2U0ZThmNWMyOGU0ZGUsMSwx;;;
Revecore; Software Engineer, Enterprise Engineering; ;4/16/26; Rejected; 5/15/2026;; https://www.glassdoor.com/job-listing/software-engineer-enterprise-engineering-revecore-JV_KO0,40_KE41,49.htm?jl=1010100635040&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos8-agejp-1010100635040&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jm6tj9igiufv800-bc43453a6c3919a6&cs=1_f120ca2a&s=224&t=JA&pos=108&ja=380629936&guid=0000019d8d70ad909d9b187e7e80ef49&jobListingId=1010100635040&vt=e&cb=1776201344908&ctt=1776271913832&srs=EMAIL_JOB_ALERT&gdir=1;;;
Tidal Financial Group; Software Engineer; ; 4/16/26;Open; 4/16/26;; https://www.indeed.com/viewjob?jk=541eccd320066cf3&tk=1jm765ss9gc4h87j&from=serp&vjs=3;;;
Ivy Rehab Network; Senior Technical Solution Lead; ; 4/16/26;Open; 4/16/26;; https://www.indeed.com/viewjob?jk=e81448bd44eaab2b&tk=1jm76as8420rb0kn&from=serp&vjs=3;;;
Redwood Logistics; Senior Software Engineer (AI Enablement); 130-150k; 4/16/26;Open; 4/16/26;; https://www.indeed.com/viewjob?jk=48c5c7e7de56c6fb&tk=1jm769b4cg8us802&from=serp&vjs=3;;;
Teecom; Sr. Software Developer; 150-190k; 4/16/26;Open; 4/16/26;; https://www.indeed.com/viewjob?jk=819c39ff710ce1b1&tk=1jm765ss9gc4h87j&from=serp&vjs=3;;;
Walt Disney Company; Sr. Software Engineer; 95-144k; 4/16/26; Rejected; 5/16/2026;; https://www.glassdoor.com/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_term=jfytspvar2&utm_content=jobs-for-you-jobsForYou-jobpos1-age22d-1010075178902&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-1-1jm8b8oaniucq800-bfc36a00447fabda---6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiSx9pTtqkYYdWRNbz8s1sRykh5L_-m1aEp_CEUi0aFiKtE0nVrH6TlxsDFEEHVaisdOf9yQAMrHBcwgTC_bK1ip0w9adHMox2HofLMS9ktNCc5OBj3mWy9KOfRe49W2f9IbLZIDmj_y2lDw97sBMkAdM_usNFi62JiUNSvQ_TnhUW4DLZ1dYC0sa8d7-IypehGVJfnw04ZDlyKlC8ytu0Gi2wtBkLgChF1m-gE5MLBC73-8ZJvVxjh8Pmy8aOsSkeJk_Ou8wiZXdFyryEKvebLZ5MhOS8Y2wIhNpvkfPqpzvOcyBbKYeYSV5qLdzY4EIGXpfgWApQKog30IkIsQpJZBG0bZZ4E-WySjfJ1QhufPWrNyRQ1Re9zOuQN9TGCewGUrZo5rJr2Op3O8qSVNbN3uEs4NKjlSa6TDynSBlxwOl4SxBQ6AFPBIQWUy1CcMEw8G8gR-X8mDCBau5M01mkDVvlktOFu8yQBT2-qOY07L2uQklpJFH5xMEcSz0b2QgVm5BSKa3EJV94xIPZ2Eb5OfgEC70wjlF7TQXKQBXNP3apV0G2FkmOBvnYHH4VxxrT95jVDLDqtQl3iUrmvfMUWvf31Bx1L50K2U_5wIMX4HRZyp0PLK8rMsadziY7QD2_VMPmRiweN-TKXO7QNvTqVy2bgBG_C8wiUk4__LvE5TyaYaNGP1D8E-_beridV5y2DyVP5EpotBf_ARNH9H8hbtqKuVazBFCkwP73RI8fKnPbrTKL0qI2UbpQER5_9cUuxGzWZftBtBVZikmazNkhBfFtWPZuEAVI8H-J9ZEvZ-BODyloGz_n17ANSayS9r8PKc8H3dtuyLQuuNMN4Qzm7YOfDuXysd4k-g_kHZIknsy&cs=1_ef825404&s=362&t=REC_JOBS&pos=101&cpc=451933188B21919D&guid=0000019d89a11eb8860b6a9d13825c2f&jobListingId=1010075178902&rdforyou=true&vt=e&cb=1776249234420&gdir=1;;;
Tandym Group; API Developer; Up to 57/hr; 4/16/26;Open; 4/16/26;; https://www.indeed.com/viewjob?jk=02f35acf27175fd5&tk=1jm7s83opkgud801&from=jobi2a&advn=7821221104656551&adid=442836001&ad=-6NYlbfkN0B-PqtJkJBxcFK4No1YgA2WlSENonneqf6KVAvcQVzPTnlSeWcXq5XRazgHanAtg3l96amCrRSC4ywNowj0Lxq8oqiGUg28AWojmCq-hqfsGB8uvWtfC3SaPcc40kvhjP7xRKaA_vI72HhE8mJfOkRVpMNnsy3T86WF1EnBoA1tgBT9XQ76liz6tG_XR0Onw5mMBoXT0bVd0T8qv-vS5kjOi0kKwAyB9Zmmwk5fn0oOZsBZRoAtWXTYvOBRiEFQmB35GjhhhEPYltdMJ8SqlQYRZ1wKxEnyVizefQjEK7o0G5TiBNm8GK-2TGGieJovF0qD67_icUl3rut7ze9GuxEIcnAQpD7YG5LXUsRlPE9MHxshpus5BAOSQZNhcQnuA4bw69TftJrGjL04Kwov-W5HsJJVOC7Pol6b_fH6K30LlSlUubhoRQfp6-c1l1SvG5N8hvbrOqIn1N1M9CzPIo2VcG1tJo8rOiTN6K2Incp7oCas2Myo1KMH3cXtfntCnAHjUE5bjCYR-n7314zsvctdfkbC9lj7oTATcigtOrY1Ge8wvOEgevwiH5sZpCKhvT3nXFtvDxS_7uv90RXaw1-dnXfS5nQDBj3cJY2WL0ZKAw%3D%3D&sjdu=vUz3PJIdpGfygLQXVlxEDn62u999uQX9H4IRIP9QZzDeFj-rOCnODg848y0D_AnaAtJW7fISHR7GHr3Wv_zWsDkUaJssX9igLFF6Ee77MZgLvml3UtjSRg5yTZ21HKHI&acatk=1jm9222rug2mp802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=ethIe0s0heeOWOfD7f4eSA%3D%3D&jrtk=5-cmh1-1-1jm7s82idkm0q800-02f35acf27175fd5&xkcb=SoAi6_M3kHwqWvgXDj0IbzkdCdPP&xpse=SoA46_I3kJMHgKSQ1h0PbzkdCdPP&xfps=2ef88eb6-a199-492b-ae4b-801b40f80e5d;;;
Advantage Technical; Software Developer Manager; 120-150k; 4/16/26;Open; 4/16/26;; https://www.glassdoor.com/job-listing/software-development-manager-advantage-technical-JV_IC1144394_KO0,28_KE29,48.htm?jl=1010100653561&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos2-agejp-1010100653561&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jm7d1kinkgp7800-16ace95c37affca5---6NYlbfkN0CQRQ3eiV4YWjrRS1ho7HVQ9JO8v6Fb3eU0yDOJbdOiEoQlZRW4hQj1tajLaE5hzsv3Aa4vcYgr1vuVZ0rVXYltvkQfjDUiFx8U5ZQw3nQHWEKoh9sp-On76AePGU_sGIlrbdOSjEqcm4fY-fAY6fRnccrrOcfHYwJzWy4IODbbwqdi5taTSPv4BpXg2v8PcO-udtGUJ-w-l6mV2AXgBcdp0tJBMRyLWUQIXY7TmutVUvemeUYMx7czkVcRzF9hQe8blVAPsXhMJZeL2mY-sgXe4wX2xfGfRfc6RsYX6weu68gFL9Xgqaidob4XdfEouetCmQzDLqx2NUfv565GGEhZ4UUgSv8hXksp7TPePRyT_jOoJ1ajXNq-E4Cbq6DvQGBsTI8GcOKqNy7sGHLaqLDvZen3TmsPkLgfbYKQhN78hGFnP50zbEelX12FEkIa0rzLoacXAUb-BimfTCSzhLo-li0FcU_VjctfzaEcQHZYOGHWPu-c-R6YDGt0eLe0U6Wi94S4Nrbw6nmqZHarU-7Xf6F-UW9HtPJswazmydhuIZ9zZIu41xmO5Qr3HKzjPt4q_hnEhpp3TPHK9KinmBynFuimmnfzB5Yn4SAaAo4icws20LIILbciNWtIu45HIb4p5ivDeBcQc3ZK_0sfaH8faHwJONZAGv3ugs5eMsFRYSS5Vwf6gu7RZlTXexHRje8ifT6s5NL3U9gV77g1sK0-AoH8yaEbOQj2sNsOhconqs6T2RUrnJb9Qd6Qg_NKE4I%3D&cs=1_727d0ab9&s=255&t=JA&pos=101&cpc=AC285F3A3ECA6BB0&ja=377506142&guid=0000019d8eb9fb89a5334dd0bfee1fa9&jobListingId=1010100653561&ea=1&vt=e&cb=1776217543457&ctt=1776272655873&srs=EMAIL_JOB_ALERT&gdir=1;;;
BakerRipley; Systems Analyst (1436); ; 4/16/26; Rejected; 5/16/2026;; https://jobright.ai/jobs/info/69ded12de34484770f1a4fa5?utm_source=1121&imp_id=3673496432511879909__instant_push__1776212918352_6010&utm_medium=email;;;
StackandCo; .Net Developer (Contract); ;4/16/26;Open;4/16/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6Ill4dGpKZFVBdk1RZjFjNGhJMVpodmciLCJtYXRjaF9pZCI6IjAxOWQ4ZTVmLWExZmYtNzdlZi1hN2JjLTE4ODZkZTY0MzBkYiIsImJpZF90cmFja2luZ19kYXRhIjoiQUFINlJPOHpielV1WkZQU3o3ZTFEUXRCSEF5X3hGTUEzM3BZOGpQaHRKN3JfZnplR1RrWWpna3R3NW5nb09RLUpidWx5eEVVIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
The University of Tennessee (Martin); IT Software Developer (Level 1-4) Department of Technology Solutions - UT System Administration; 65-115k; 4/20/26; rejected; 5/29/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6ImJ0dkNWVDVTd0lIZjlxb09BNWFlZ1EiLCJtYXRjaF9pZCI6IjAxOWRhYjRjLWMyMzEtN2Q1Zi1hNzg0LWYyNzY2ZTRmMzUwNCIsImJpZF90cmFja2luZ19kYXRhIjoiQUFFRXp6Y3NhS1ZHVVhZa1M0MDBiZktOcUVHRkRzTzY2ZWhWbHQzc0NLYnV6Q1NFVmtFcEJ2Uml2NzFqc0Ntc1A4b0ZJejF1Iiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;; Rejection Received
Jobot (Berwick PA-Remote); Senior EAM Application Developer; 100-145k; 4/20/26; Rejected; 5/16/2026;; https://jobot.com/details/senior-eam-application-developer/e70d01a501?utm_source=DigestAlert&utm_campaign=A&utm_medium=SimilarCandidate_JobTitle;;;
Sean E. Merryman Placements; Sr. Enterprise Engineer / POS Modernization 100% Remote; ; 4/20/26; Rejected; 5/16/2026;; https://www.indeed.com/viewjob?jk=29e15c8bfaf949d7&tk=1jmkofk6hgeku804&from=jobi2a&advn=141715238018225&adid=460594105&ad=-6NYlbfkN0BulUYP0VXvka74vK-gchix3kDHo4BwjONfZ3bhUXFKQIbdftTUsFV2Zg3L0q25leSJc1SWcHt6OMq0tD1rkfBxYUv78KxuY5BoRRh4DBHDpUa5yWoq_B7b9fEoAF3OD9qqeyOZe0XF_JY87Q0wTavGJ2dOnuD8X0oXnB_MfQhx0npV4rLpPBrZdN20XO69fEbB74cyEveaTobpjsWrCDi9fMdmjm6_JrcsVY6jekUdlMUewCkT1YBgNRUDTx1UqS_tRg4eqWvGQC8CS2iW6Q5xVUhh5LYuoNq92Q1I2hMZtShlp86PqIOil3J42ZGJU242CE0Fi9IS3OQzQCEgmp0_aTGpL1N3lj4fRay5Zp2Io3JRbU3pzVThBBhKjHAqrk0gVOa5xDKSPoqusIKbj3bLea5l5_WxeNeH5_QbNAmv_oZoHMoY447Dym84jMeiDHg36VUr48AQRaWkY2N8RfUrAJeAiqMH9SKW6sqAVNJwFosfoNii1bSW_3f0_GrA4zlCTcZYbA1SDaDPX9ACKixe06CHW21PBMRubHlAPxR2xdAcC4o8LnxIJif1Yvj4D4gEgvnCj7_5ACDG4cvLjvslISbtk1WbzcUiSsKBqBtUHYAs73Uta_Ie&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=C3EPSzFlQw_fgeVPJt2I-g%3D%3D&jrtk=5-cmh1-1-1jmkofj3elib1800-29e15c8bfaf949d7&xkcb=SoA56_M3kU4xVNhVET0AbzkdCdPP&xpse=SoB56_I3kVk_-ZS5GJ0PbzkdCdPP&xfps=d4150ba3-718e-42b3-a8ad-a2d24ad073da;;;
Archon Resources; Sr. Full Stack Developer; ; 4/20/26;Open; 4/20/26;; https://www.indeed.com/viewjob?jk=63704a1c4a369efe&tk=1jmkofk6hgeku804&from=jobi2a&advn=5965942598672180&adid=407493937&ad=-6NYlbfkN0CqdZ97vGshOX2TiKXPUn-kKkK7Us8zZILUnvDYRr5Hn8268VsDnvA7fU0B_qb5qQcxkWFRgKUFY4T6cJ-4EIpMtoeXBnmWfy3Vf5JGM64MfU-dOFLfRMZmuJ0te9HVMvgaLeDW393ahr3meGguzHn5M5UUAlspRTbMvBkLhAQbBNfsqnLdrhNjNFlo_IfYiXXx6ObAccAI_XeqNFXljzkZR8w80CvWfXvC3KRIpbbExQecciRpSs3QCkv7ElFWqTCMZtrme22vvc4wcexe5dui7m09qUecpGGIEdpWim9GZ6MtuuSqlQL94tERn6icOoU2HLb2QQ-6ms-6Wwt4KhHH2reM3omowhVwz28f7WwL_Ds3yTFR9FyNMnuDhBHvktL5yMA4cHVYWa5dyQ4PYlVvX7IQiEpRJ7tC-Cti0jMkXwfm8dqVJQiQD8c70gjFw2fooI99fGA8nqyozJ5U8wWfwXk1q1T5fAtdB1Y8o58xrAhYa3MVEL7Rw0oxuxXAIMk4nfViobWeHKAMzENq8qt2h-gvQ7DEH80F5vaYdpFjo2m1kZJkO0j5O3auosAkxAbudkLOGnOa94W_1fRAXYbWARNWffgGt3mSUvbaUNMLzVz4Zq_mEnFj&sjdu=78Or3tMDsmon1rR4b4SEKoQMgM5hS8RZKPqNrSVIxLT9bZFVQ09ipzv7MTRk_xcS_OsUwKzIFtKhzXSD2Ibp9DQ2b9Il319ZICwwVIqdchs&acatk=1jmlmcibog0us802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=H-lBaXMUocI3Z-J9B6UYzg%3D%3D&jrtk=5-cmh1-1-1jmkofj3elib1800-63704a1c4a369efe&xkcb=SoDQ6_M3kU4xVMBVET0IbzkdCdPP&xpse=SoDY6_I3kVk9kJSUVJ0PbzkdCdPP&xfps=e9cb61ce-fb5e-4123-951f-3d6c768d5e60;;;
Avesis; UI & Integrations Developer (JR1345); 79-132k; 4/20/26; Rejected; 5/16/2026;; https://jobright.ai/jobs/info/69e58dfc9b6eb37e26f7d249?utm_source=1121&imp_id=3673496432511879909__instant_push__1776656670005_9136&utm_medium=email;;;
FujiFilm Healthcare Americas Corporation; Senior Software Engineer, DP; ; 4/20/26;Open; 4/20/26;; https://www.linkedin.com/jobs/view/4391758847/?trackingId=n%2FdUC51VzipGdI0dHZPkcQ%3D%3D&refId=yOwdv78BQqk9uqF7Ozkgzg%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0iXTxDBMRsQIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4391758847_ssid_15257593108_fmid_mw6pip~mo6ary7u~3g&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4391758847_ssid_15257593108_fmid_mw6pip~mo6ary7u~3g-null-mw6pip~mo6ary7u~3g-null-null&eid=mw6pip-mo6ary7u-3g&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYjI4Y2NiZDI0OTlhYTg4ZjYzN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkOWU1ZGQ1NDg1YTJhNTY4OGFlN2VjZmFmNWZmYTY2ZDZiN2EyYzkwYjU0NmEzMzUsMSwx;;;
Mastercraft Boat Company LLC; Senior Software Developer; 51-68/hr; 4/20/26;Open; 4/20/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6ImdTTnJzaW5hMDV3MG5LZEhlTDNHYVEiLCJtYXRjaF9pZCI6IjAxOWRhNzZiLTc2NWMtN2I1Ni1iZWE4LTUzOGI0ODA4ODFkOSIsImJpZF90cmFja2luZ19kYXRhIjoiQUFHTG9jYnRNRjFQal9aNnY1WVVOTVZSSllPRkdIdi1wdnZXU3hTZVFFX2w5RERUcTBwZlBDMzJBVDNtbktNWkRmeS1tZ0REIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
Crossing Hurdles; Backend Engineer (.NET/C#) | Remote; 60-120/hr; 4/20/26;Open; 4/20/26;; https://www.linkedin.com/jobs/view/4403019143/?trackingId=&refId=&midToken=AQE_3XQkBAKpjA&midSig=17e-LAKYUwQsc1&trk=eml-email_jobs_application_rejected_01-similar_jobs-0-similar_job&trkEmail=eml-email_jobs_application_rejected_01-similar_jobs-0-similar_job-null-mw6pip~mo5zhjzo~eo-null-null&eid=mw6pip-mo5zhjzo-eo&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYjI4ZWM4ZDM0MzliYTk4NzZmN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlM2RlYzc1ZTg4ZWM4NzE5YjcxNzhiZmJiNGNhMzdiODU1Y2FiODEyNzU5ZGEzM2EsMSwx;;;
Parallon; Staff Data Engineer; ; 4/20/26;Open; 4/20/26;; https://www.indeed.com/viewjob?jk=949b4340017103f5&tk=1jmj3cuvag29683q&from=serp&vjs=3;;;
Micro1; C# Developer; 50-120/hr; 4/20/26; Rejected; 5/1/2026;; https://jobs.micro1.ai/post/69d83070-37aa-407b-abec-5c06edfaaac0?referralCode=463495f6-7cc6-49ed-8e8f-5ef2a1cc3fd7&utm_source=referral&utm_medium=share&utm_campaign=job_referral;;;
Amer Technology, Inc; Senior Software Developer; ; 4/20/26;Open; 4/20/26;; https://www.dice.com/job-detail/68b91a1c-b65c-4e89-88f2-d7c73d1edc9d;;;
HCL America Inc.; Senior .Net Developer; ; 4/20/26;Open; 4/20/26;; https://www.dice.com/job-detail/cebeab41-39ac-484c-941c-53c5915e202f;;;
FedEx Freight; Full Stack Developer III; 83-160k; 4/20/26;Open; 4/20/26;; https://www.indeed.com/viewjob?jk=42f6cd14aa456df4&tk=1jmgu9h52gkv583v&from=serp&vjs=3;;;
AIA Contract Documents; Senior Software Engineer; 120-150k; 4/22/26;Open; 4/22/26;; https://www.linkedin.com/jobs/view/4404906967/?trackingId=4bN23Gq9l%2BjCQUDx6gxvLg%3D%3D&refId=Eh9PsraXx9hmJU6MPu%2FzDA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2tUCMxwLzkUsc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4404906967_ssid_15257593108_fmid_mw6pip~moa88jp4~fo&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4404906967_ssid_15257593108_fmid_mw6pip~moa88jp4~fo-null-mw6pip~moa88jp4~fo-null-null&eid=mw6pip-moa88jp4-fo&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYmM4OGNjZDg0ODkxYWM4ZTZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlZWRjZGIwNDk5ZjA5MTE2ZmZlNzQyOTM3ZDJjYmU3ZTMxZjM1YmFmZGIzMDFjYTAsMSwx;;;
Pathfinders Executive Search; Senior Software Engineer; 120-140k; 4/22/26;Open; 4/22/26;; https://www.linkedin.com/jobs/view/4401971896/?refId=Eh9PsraXx9hmJU6MPu%2FzDA%3D%3D&trackingId=Bk8U9sVEmc9nKho8FwVbMA%3D%3D;;;
Coinstar; Senior Software Development Engineer; 137-172k; 4/22/26;Open; 4/22/26;; https://www.linkedin.com/jobs/view/4404885791/?trackingId=9JngrCeq1asrMPPaoGfZ9A%3D%3D&refId=Eh9PsraXx9hmJU6MPu%2FzDA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2tUCMxwLzkUsc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4404885791_ssid_15257593108_fmid_mw6pip~moa88jp4~fo&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4404885791_ssid_15257593108_fmid_mw6pip~moa88jp4~fo-null-mw6pip~moa88jp4~fo-null-null&eid=mw6pip-moa88jp4-fo&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUxYmM4OGNjZDg0ODkxYWM4ZTZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlZWRjZGIwNDk5ZjA5MTE2ZmZlNzQyOTM3ZDJjYmU3ZTMxZjM1YmFmZGIzMDFjYTAsMSwx;;;
Networking for Future; Web Back End Developer; 130145k; 4/22/26;Open; 4/22/26;; https://www.glassdoor.com/job-listing/web-back-end-developer-nff-JV_KO0,22_KE23,26.htm?jl=1010108971056&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos6-agept-1010108971056&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jmqs41oujn3i800-e65cb1d88bc817fc&cs=1_53576802&s=224&t=JA&pos=106&ja=399775333&guid=0000019db5917613b55590fb98e1f5f9&jobListingId=1010108971056&vt=e&cb=1776870885400&ctt=1776874152401&srs=EMAIL_JOB_ALERT&gdir=1;;;
Allstate; Software Engineer (C#/.Net); 91-154k; 4/22/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/69e8ef464b0fa35a7076a315?utm_source=1121&imp_id=3673496432511879909__instant_push__1776874176097_9008&utm_medium=email;;;
Apetan Consulting LLC (The College of NJ); .NET Developer / Lead / Architect / Remote; ; 4/22/26;Open; 4/22/26;; https://jobright.ai/jobs/info/69e7cd857820c036924d8441?utm_source=1121&imp_id=3673496432511879909__instant_push__1776874176097_9565&utm_medium=email;;;
LingaTech; Senior Dotnet Developer; ; 4/22/26;Open; 4/22/26;; https://jobright.ai/jobs/info/69e67c71e0cd471b2f126005?utm_source=1121&imp_id=3673496432511879909__instant_push__1776874176097_9565&utm_medium=email;;;
Inovalon; Software Development Engineer L3 for Multiple Positions; 117-127; 4/22/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/69e7fa6d7820c036924d964a?utm_source=1121&imp_id=3673496432511879909__instant_push__1776874176097_9565&utm_medium=email;;;
