Company;Position;Rate;ApplicationDate;Status;StatusDate;Comment;Link
Cotiviti; Senior Integration Solutions Engineer; 122-155k; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d57c32cdb525785fbd15ab?utm_source=1121&imp_id=3673496432511879909__instant_push__1775601346090_1901&utm_medium=email
HealthEdge; Software Developer; 115-132k; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d56051891d7b11cfd0161c?utm_source=1121&imp_id=3673496432511879909__instant_push__1775606689652_8455&utm_medium=email
Gainwell Technologies; Sr. Web Developer (ASP.NET/C#); 75-95k; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d58c00891d7b11cfd02d89?utm_source=1121&imp_id=3673496432511879909__instant_push__1775606689652_8455&utm_medium=email
Northrop Grumman; Principal Engineer Software/Senior Principal Engineer Software (Melbourne FL); 98-184k; 4/8/26;Open; 4/8/26;; https://www.glassdoor.com/job-listing/principal-engineer-software-senior-principal-engineer-software-northrop-grumman-JV_IC1154286_KO0,62_KE63,79.htm?jl=1010085147980&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos2-age6d-1010085147980&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jll6kga121js001-e7039da74509dc85---6NYlbfkN0CwZXc5kaVZcDIejlzrQt6xuDzFCT1LgXJr1Wz7yprErp63zeW0i6ZxRfdfcwhWFM8aktSdKa9Copw11gQCcRfsfj9uqaWJ8BUiO2q-3ofTb3vw4TAvFFkMZTAQqGHRf2Q8I-V9KnWY5eVBsDvoq1iH7kskYJYcH93rGmGg6NYc6GcoRSM9rZHHTTYmRDuaSTxPDrLLwpTLQlqpp0Lgj6XRi_MzVr0M2zfYcojp6_UlWFzfQVRGiHpSwawHBcVW9M-r5lP12HVdG3qqPL5_wJmOSXyk62ElI65u6_X8taT4t316Bk_RTk7PM7dz773-OHwMtHKyNEZXidQ5uXmr42UD2fOVVrHU1SA9elkq9ZX2-v0zyjYDfFeIqvm64Cpy7NVBH3NUzFNP-k52zdn_ySZ6tJOC7bPXV1AIc4jE2vXw9-SsiEGwdL4mwbuppvTUL42XK8iQrxG6-DGtMHhFV_tNULqHYn9KLKt9a1ZxtZFJMVMyiz0ZkkV9OUbugiK1x0rgCDEGMQKQ1V5u-vsA6u6jZ58D_LS1yFExEEAPvqfu2zdMI5hXaFoonblHKHcfOB4ajX3hRxN2DN5rAgSycbXZPnNRpGCQ0p0pMWKrEeYa7P2QECPvXobDQlyq1G11KDK4cM6XXsd7M1fnhZH_TanjMbI9S5HvfU1wDy3vqhlBgx8Vf7jIVKTlXVJPKD95aSh1HOfvsAl7ezv_1TBSb_M4_6HawC_WnaaScfXHMP7A12wd9I3jHxY-oJzMosEi0GoIRijpNTZSHr29cmyjOAm2BjAj2QJiOFAh4g0aTgzI-TBLh-IFZ7IMJrf4DkLbAdOpAco66R0uzmALZmPWmE4CYySPuxRK5nDrvbComAaooclTrSbBioeo1Ug4oiDG_MkRaQ-v1VPDyuPpkR3hq7z515nGiyGrjZwwh_4Nx0kjEmCj8BHi_gU1HKENcsKL-3IpySkZct8ls1tbe_asbu8P6b-ndOApOSuSdCN1Xw2GMD-kNgC-LDpWMHAJVVKwDNnh73Mxj17963HWvn_hzDIcIOpe8t7uZVuLap6J5l0WhtQQ6SsHLEgUP1U0j3qzP_RWd32fyEBRYDCsJcVRVW3-zTsG7pDynRBrL8X0jrBv8qo0vg2AHlh5dAwXuEaT4uxugj1k1gDq8G5bAupu6km1a-kR896nks65p6bizSlUgfpQ9VqRmLHuqgYDLrJARsc5gDcM32kk-TSSDvuiUGMSNzbrfKMR6HcZnyxGj8ZZy_FOxQJDgkHPj7Num0fiMB_i2k2K-lSoqCFubm46VX5GpICyh3hLb51ib3GDjzLpMR7pn98qV3q9CTg8gV749Zb9W4N_zyGVm_PHZgLo6ne8-Avxpa-5wmruW8QqHC8H0cw-BR6tskzV4JWCpBepmA2AFypvqBCGgwohx9odY78ajCvSGjZmdRIIx00zbeecT8EPLZy1STQnNqFkHOQXq9FFTIEaJ_yc6zkCsEYlXyo3alQdO01zVRSYcGzN0XAslsEFRDTVIpSuYawHgj_X1WGn8ADA5JEPjp1FOLNCLfJ78r74C66YNCDTK5nJruCwJvXjCh1ZHcyZMmcIyYm67zFaAD12fPY2jsT1K2Xp5qW7_qwNv1QWK2aWb_XlrnD3Hg%3D%3D&cs=1_a4655104&s=224&t=JA&pos=102&cpc=451933188B21919D&ja=402221199&guid=0000019d69d1f2a2864c312528c9b3d6&jobListingId=1010085147980&vt=e&cb=1775606841976&ctt=1775669734416&srs=EMAIL_JOB_ALERT&gdir=1
Vyne; Staff Software Engineer; ; 4/8/26; Rejected; 5/1/2026;; https://jobright.ai/jobs/info/69d5d71acfdc6132f9466658?utm_source=1121&imp_id=3673496432511879909__instant_push__1775622653409_4124&utm_medium=email
Vyne; Staff Software Engineer in Test; ; 4/8/26; Rejected; 5/1/2026;; https://jobright.ai/jobs/info/69d5d71acfdc6132f9466658?utm_source=1121&imp_id=3673496432511879909__instant_push__1775622653409_4124&utm_medium=email
Vyne; Senior Software Engineer; ; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d5d71acfdc6132f9466658?utm_source=1121&imp_id=3673496432511879909__instant_push__1775622653409_4124&utm_medium=email
Vyne; Senior Software Engineer in Test; ; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d5d71acfdc6132f9466658?utm_source=1121&imp_id=3673496432511879909__instant_push__1775622653409_4124&utm_medium=email
KeyLogic; HYBRID Software Engineer; 79-113k; 4/8/26; Rejected; 4/10/26; Received message at Indeed.com requesting that I go to this url:  https://phg.tbe.taleo.net/phg02/ats/careers/v2/viewRequisition?org=KEYLOGIC&cws=37&rid=2718 and apply directly there; https://www.glassdoor.com/job-listing/hybrid-software-engineer-keylogic-systems-JV_IC1144404_KO0,24_KE25,41.htm?jl=1010092818723&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos3-agept-1010092818723&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlmj204gj71o803-28f2b4ccd62b0816&cs=1_5c30b32b&s=224&t=JA&pos=103&ja=395961090&guid=0000019d6d0a07cdb1697c8aa6afa753&jobListingId=1010092818723&ea=1&vt=e&cb=1775653422369&ctt=1775669482261&srs=EMAIL_JOB_ALERT&gdir=1
U-Haul; Software Developer; 60-90k; 4/8/26; Rejected; 4/10/26;; https://www.glassdoor.com/job-listing/software-developer-u-haul-JV_KO0,18_KE19,25.htm?jl=1010093465640&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos6-agept-1010093465640&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlmpvlgqkgr1800-15443da2e755bd82&cs=1_ada31654&s=224&t=JA&pos=106&ja=378462087&guid=0000019d6d786c8f81a695ef3bfac319&jobListingId=1010093465640&vt=e&cb=1775660685158&ctt=1775669370513&srs=EMAIL_JOB_ALERT&gdir=1
Greenway Health; Associate Software Engineer; ; 4/8/26;Open; 4/8/26;; https://www.glassdoor.com/job-listing/associate-software-engineer-greenway-health-JV_KO0,27_KE28,43.htm?jl=1010091538268&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos5-age1d-1010091538268&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlmpvlgqkgr1800-6095e7629fd96c57&cs=1_60e29e5a&s=224&t=JA&pos=105&ja=378462087&guid=0000019d6d786c8f81a695ef3bfac319&jobListingId=1010091538268&ea=1&vt=e&cb=1775660685160&ctt=1775669366663&srs=EMAIL_JOB_ALERT&gdir=1
Precision System Design; Senior .NET Developer {AWS}; ; 4/8/26;Open; 4/8/26;; https://www.glassdoor.com/job-listing/senior-net-developer-aws-precision-systems-JV_KO0,24_KE25,42.htm?jl=1010094167659&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos1-agejp-1010094167659&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jlmqqtq5kgrv800-6730eb0295d410ed---6NYlbfkN0Clz_FvDW05OYcXZEfdSgGAs4NrBEY9FTKhI-t1tfWo-4dIRMgprg_R3PskW9hjV73lnW0v4FOTilR-oAlXj93L4w2s6A-t6-7YQ1ctZoZdY_0v315BI8E5jYa6m5jS2iTPq2NydG9wYtGVT03WAeIkPV2XQUIF0hMfqbd7agJzyrXsTlrX4L5ojEfM_SLjOHr5lZNEl0_2eTUz113UqZI6do8Og6BWwNYm-gkkYbtaO_wErottQVRaVruT1WPcjn725dWC5vDHMCII86WTPdwy4gjpo-5DdaKLA3fTf5A-AvLWSCo47guvtL6OvBUdvMEZL5fYqS_eZiKUKm-Xc9UTAsKRP-dR-xGOvgdQRbRDGN5sPZHIdTDcJsHI0vQTBYkzi8yXqBdgiCG74CRQUFkvcyn4LAW97mGSSnWNnjcScir5csYEwjimF8Ik0gMSo2tHDmEPaD9aUd0GqNjpg-c_YFCvl1dpRIt6jif4uQrVI1VjtEKoDLItzRbIroyFApwFUlz6hl9KN8mXXQtTWADioSp3P6CN9Egx5pUi9G4VX4vwqDqo9XjViccEznwBaIMex_3QgIvByf9aX4-Nxc_c1iYPMFO4yuN6_4hZaSOseonMBPK7ZKLwUQXbJ7lrFTRtnJqZ2tf2AO2WA6MUrRh7DEwT8KgzyMciD7u5lRSB2Ys64nJF47H08FM07nKm_jUDR29wjZjc7RNXdZ_Zim13l1oW0aRNEAaV7UpxA7FsJpL2269rLJK4nf_T0FFSJbyoFj9tYLLeRubTpGhYFYQT4BtnqrZ_pj96hTD-jk3wQNQZH4Ue_GUU&cs=1_7ad94953&s=224&t=JA&pos=101&cpc=723ADC3DFE402989&ja=399775333&guid=0000019d6d787ce9860300cf6035c2db&jobListingId=1010094167659&ea=1&vt=e&cb=1775661578430&ctt=1775669295844&srs=EMAIL_JOB_ALERT&gdir=1
ORNL; Full Stack Software Developer II; ; 4/8/26;Open; 4/8/26;; https://www.linkedin.com/jobs/view/4386741365/?trackingId=kdtH%2BEr9zNGciAlxDT6XAQ%3D%3D&refId=9dqUTRJEYUzB2p18rkLT0A%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3rndH1nkspAYc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4386741365_ssid_14999231100_fmid_mw6pip~mnq82m28~8x&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4386741365_ssid_14999231100_fmid_mw6pip~mnq82m28~8x-null-mw6pip~mnq82m28~8x-null-null&eid=mw6pip-mnq82m28-8x&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjI4OWNkZDU0ODkxYTY4YzZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThiMmRlYzg2N2FmZmZiNTM2MjAxNzg1YWFhMzE0YTU5NjM5ZDU2MDE2ZjI1MmYxMjgsMSwx
Sprezzatura; Developer; ; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69bb87a806c1ba00c54dfe43?utm_source=1121&imp_id=3673496432511879909__instant_push__1775664285133_5798&utm_medium=email
Ensora Health; Software Engineer, .NET/C# (AI-Augmented Development); ; 4/8/26; Rejected; 5/1/2026;; https://jobright.ai/jobs/info/69d5f9cb366bb95ba554a725?utm_source=1121&imp_id=3673496432511879909__instant_push__1775664285133_5798&utm_medium=email
Pageflex; Senior Software Developer; 110-145k; 4/7/26;Open; 4/7/26;; https://www.ziprecruiter.com/jobs/a/b?lk=RaznEAVxTE_sUhhSzWRNvA&tsid=111000153
Ingenuity, Inc; .NET Programmer (Pelham AL); ; 4/8/26;Open; 4/8/26;; https://www.ziprecruiter.com/jobs/a/b?lk=8LxVMncwBuPUg8bBBHftLg&tsid=111000153;;;
Info Origin Inc; .Net Developer; 55-56/hr; 4/8/26;Open; 4/8/26;; https://www.ziprecruiter.com/jobs/a/b?lk=0LGCMku8QiDUb5gRabTfvg&tsid=111000153;;;
Mindlance; .Net Developer II (Job #26-09949); 46-77/hr; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d5261d706f771673ba0cef?utm_source=1132&utm_id=69d5261d706f771673ba0cef&tob=true&banner=false&utm_medium=feed;;;
Syms Strategic Group, LLC (SSG); Senior .NET Developer (Onsite - Orlando); 51-65/hr; 4/8/26;Open; 4/8/26;" Apply process states ""100% U.S. based remote position"""; https://www.ziprecruiter.com/jobs/a/b?lk=j-m4xwXVwyUSLs07atQvsQ&tsid=111000153;;;
Citi; .NET Developer - Applications Development (Jacksonville FL); 97-145k; 4/8/26;Open; 4/8/26;; https://www.glassdoor.com/job-listing/net-developer-applications-development-citi-JV_IC1154093_KO0,38_KE39,43.htm?jl=1010086632452&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos3-age6d-1010086632452&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jlkhgjbnh74j800-1f45b36a62e2af77---6NYlbfkN0B7UYL49yWBrrOlEWIsfJu1HwdoffaEv3MPqVgUrdyA2qxVh7raSAZXW7OKfZem_yQlO6bzle5MGA0N_jG3pE2_5yi36A4crR7ptLmQ5JIee7pXD6tuv4lxwd1FVz-P6IvJdzG0yi2LQOWT4skK5RO5a6xTJ0md1Wg4ynDR2taZKNo7QlQksiHuSIGU7dEd5Z3FrnV-6gSeJe_FmYHBFxl4obqH7sVz2MNNTvTOqNg0w-H1Fapm_vdm-Wb4Wl5IZuHGFqbcv5_U3ID7eaDcteYbW6UwkiMN0o95REWYEhoJmZh9ScWMV4CW48mXH1aEY64s5VKi6KsTl2A3MD7E95JXG7SJy7-l4OlBm1E_AwLWpg39zv-AflXMuD1lMVVgZGTFKdgRCNAaGXaEHfSqoujXTWkMW_fa3Q78Ns3LPdhDMF-wAKhv3cSS8T4QbWeVmwWWzaspZI_0RbU5GCwT6nnUQayFVyjyoMVwgBXfoDw3KDIwuFxL6mPN9EdbO2VSK3ZaYlaGaODWMgsR8IrsUZSY0oQpW1e50cuUPUwleKFUD_1q2mybeZ0hdsEzXQ3LpqJdbMkdfgDJTiHx1YqDfWcSOI30Nc3JTwGn-F_uP2ezXx6CAMBF058iDseGcO4bCvN04ejiYbfUJ9iXYmqBMEK9ZH1R0i6eXZGQ9EACJwnYM9CsQxQdWKCu_IyECKtkKps-Q6QlhXlPJHglzg-EJ7p_Xv55iGjfvzw1OiJ5o9xgiLAuqr5BlPATcHBfThywPpPQ7QcA5mCXSWFjtbpiUxYqNULSchyQP4YUiwRrLNjCTf_5VIVdjyoGiIkSQQHR1XQc6HlVoNdWmdFXA1AXcoiAXFWXF7AwuflJUMnMBMkDhCjgN9QyNocqkhAk6G0uze4abwO0M4maD3qfSFpQMmkcG2J6WxBOmpKFHxDWSeqkOM47CvX0hsNEjyl3EuQkt7I%3D&cs=1_96aae7c2&s=224&t=JA&pos=103&cpc=1CBFC3E34E2A31FF&ja=401273461&guid=0000019d68bfff89ae28a5a2159d9512&jobListingId=1010086632452&vt=e&cb=1775584693988&ctt=1775670740843&srs=EMAIL_JOB_ALERT&gdir=1;;;
OpenLoop; Senior Software Engineer; ; 4/8/26;Open; 4/8/26;; https://www.linkedin.com/jobs/view/4375797331/?trackingId=QbllVB32IpRLmVHKzkhnPw%3D%3D&refId=LZuDMonL28RG4BbgWzPQyQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2V5eqhHDSeAYc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4375797331_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4375797331_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8-null-mw6pip~mnqccxwg~j8-null-null&eid=mw6pip-mnqccxwg-j8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjI4OGNlZDY0MTljYWI4ZjZkN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkM2RmZGQwZTg3ZWJhMjY5ZjFkY2ZmMjFhYjgwM2E2YzA4Yzc0NDg0Y2ZiNjA5MmQsMSwx;;;
McGraw Hill; Sr Software Engineer; ; 4/8/26; Rejected; 5/8/2026;; https://www.linkedin.com/jobs/view/4384087860/?trackingId=b10fK0leJKhMb5bZxhzgpA%3D%3D&refId=LZuDMonL28RG4BbgWzPQyQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2V5eqhHDSeAYc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4384087860_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4384087860_ssid_15257593108_fmid_mw6pip~mnqccxwg~j8-null-mw6pip~mnqccxwg~j8-null-null&eid=mw6pip-mnqccxwg-j8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjI4OGNlZDY0MTljYWI4ZjZkN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkM2RmZGQwZTg3ZWJhMjY5ZjFkY2ZmMjFhYjgwM2E2YzA4Yzc0NDg0Y2ZiNjA5MmQsMSwx;;;
DataAnnotation; Application Developer; ; 4/8/26;Open; 4/8/26;; chrome-extension://chphlpgkkbolifaimnlloiipkdnihall/onetab.html;;;
Cadence; Software Engineer; 135-165; 4/8/26; Rejected; 5/8/2026;; https://www.linkedin.com/jobs/view/4397791889/?trackingId=Pnri3iBUC0a7%2Bzl%2BybQOxw%3D%3D&refId=UAorTMewem3WQfen%2Fckq%2Fw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3JCsdBNJZAzIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4397791889_ssid_15257593100_fmid_mw6pip~mnp17edg~e4&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4397791889_ssid_15257593100_fmid_mw6pip~mnp17edg~e4-null-mw6pip~mnp17edg~e4-null-null&eid=mw6pip-mnp17edg-e4&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjE4NmNmZDI0ODliYWI4YjYzN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkMGZlYzY1YmZlZjc4MTYxOGJmZTY3ZTM3N2RiNTQ5MDEyZGM1ZTExMjI0ZDU2NTAsMSwx;;;
Cotiviti; Senior Software Engineer RCA R&D - Legacy Applications; ; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d495c054f00230c6d32d98?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775592134621_9850&utm_medium=email;;;
AdvanceNet Health Solutions, Inc; .NET Engineer; ; 4/8/26;Open; 4/8/26;; https://jobright.ai/jobs/info/69d528cecfdc6132f946016b?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1775592134621_9850&utm_medium=email;;;
Changeis; Senior .NET Software Engineer (ASP.NET Core/C#/AWS); ;4/8/26;Open;4/8/26;; https://www.indeed.com/viewjob?jk=e4408e238c9485f6&tk=1jlkt2pqpg2us84r&from=serp&vjs=3;;;
Emory Healthcare; Full Stack Developer III; 52-65/hr; 4/8/26;Open; 4/8/26;; https://www.indeed.com/viewjob?jk=b284e668faea1bdb&tk=1jlksn4a5g5jb830&from=serp&vjs=3;;;
Calibre Systems, Inc; Senior Web Developer / Engineer; ; 4/8/26;Open; 4/8/26;; https://www.indeed.com/viewjob?jk=bc54f94cb73d6d72&tk=1jlksn4a5g5jb830&from=serp&vjs=3;;;
AAA Northeast; Dynamics CRM Technical Architect; 147-180k; 4/8/26;Open; 4/8/26;; https://www.indeed.com/viewjob?jk=99e0e85027858b1d&tk=1jlksn4a5g5jb830&from=serp&vjs=3;;;
SAIC; Senior Systems Engineer; 160-200k; 4/8/26;Open; 4/8/26;; https://www.dice.com/job-detail/735a837a-a0be-46fb-9790-61c0bd696ea7;;;
Vibefoundry.ai; Software Engineer; ;4/8/26;Open;4/8/26;; https://www.linkedin.com/jobs/view/4397314273/?trackingId=kQatJhujRJqV0uy9FPQlrA%3D%3D&refId=wa1XsPg0RM%2BCwCfBcjgZlw%3D%3D&eBP=BUDGET_EXHAUSTED_JOB&midToken=AQE_3XQkBAKpjA&midSig=0DrrZgg_jszIc1&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4397314273&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4397314273-null-mw6pip~mnp5hq57~k3-null-null&eid=mw6pip-mnp5hq57-k3&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjE4NmM2ZDQ0ODk5YTg4YzY5N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjYmQzZDQ0ZmE3ZDA4YTZiZjcwZmQ0NzZhM2U5NmE4YzdmYWJjYTI1NjFlYjY3MjIsMSwx;;;
RK Infotech LLC; Software Engineer; 70-110k; 4/8/26;Open; 4/8/26;; https://www.linkedin.com/jobs/view/4374000978/?trackingId=6O81FuP%2FQ%2FeoOGSqPA1NKQ%3D%3D&refId=aPlE9xhZRBiSLoJn6xJRBA%3D%3D&eBP=CwEAAAGdYhMtotkU2-Q_c8OlVyoO1Tbv1dARK2LG2NOKoCDf4RTdepTcsLoiP98YL6i9zFuk2QjTJrshZu0XdRaUO-RQBqVHSpaQUGYWHtMVTsecXXaBrr8oBux1Gf6yO7ltGevP_6tXK2atYydCQrE-eHsV33sJQ_9eggyOUI21fKdRVTHyIaYZtjE243ej8M5ANHJYPTa_JmVKWtNL_jRpkT7DwBT6w4ak0O7c45ofhF1r-BXBzAVSMuAeAr-kXNgnFf4t8-z9jdocY9C9mlTueJFqa6_s5qb7h2S7vjJjRFN6PrxUjBWKWSesko3r8c3jeT6wFxdrCMJ0u7Dbe-DiTd-jzH9ka_ns2SbKHPOFVBK_PZ-nFCO9ogBgS7FlAZ77oo8lLN2WWBoUxW438nnGcpxC-gCvWUE-L-WLeSvbISo&midToken=AQE_3XQkBAKpjA&midSig=0DrrZgg_jszIc1&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4374000978&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4374000978-null-mw6pip~mnp5hq57~k3-null-null&eid=mw6pip-mnp5hq57-k3&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjE4NmM2ZDQ0ODk5YTg4YzY5N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjYmQzZDQ0ZmE3ZDA4YTZiZjcwZmQ0NzZhM2U5NmE4YzdmYWJjYTI1NjFlYjY3MjIsMSwx;;;
Wily Fox Technologies; Software Enginer (Remote - U.S. based) ; 60-70/hr; 4/10/26;Open; 4/10/26;; https://www.indeed.com/viewjob?jk=8188677a509e9d6e&tk=1jlr0o1grnqi7801&from=jobi2a&advn=2483208184040850&adid=460293011&ad=-6NYlbfkN0AJXj6mDuD1v3Pabq33xVH6uIWD2p5WgfRqnku-4e2Ey0FjwPfa_ZuxDjQGyDS3_Ke-ZW0XPOic0jlcAJMID7eD3h_27CU1PcSXYFFuSLyJUWz0IO_Gp7s-_qyZvmVKhe2wnuESQlRGpmwU5fmCBpPjhYs6XGTZlBn9-72IvU7M84nmVwTjOYTn5s5G8C8S6itHc9zWgKs15Zv0c1FOSIAACGqFdQPNOuvZyEnQ8Dz_YfZbWytlf9bURTek5FkEIi7CSTKV-tT1EJxXfK60jYu3io8yzL97pNkDkhAVRhPDG2ZYXHt7LpS_ce3GtSli1LjzePnkN1aNZO6Awhb_bGBSRD8xvHd9WNKo8uz6zhZwHdJ71V_89pc3APa6PyqA1gFBxBoeWLrBisInIsUK_n2lCigI_PY_57SZL56YsO0EM89GOI8x0aT6g0JPasKT-vomPgThLuZh1_SgPnsoE1xuSwf1HSPF1qznvO-bIh7l2fSzJvZ4UF4QlUBZtjv1Z49cuBqaQa0Q4MkmAt1Fb-nItHPK5w-Uy9p2U5XhdccIMgB36uSvrHeLBxUcM8lto0dQdBv2neYr5B1vay5rIH1wZZc75He0EAV8nxLirDGzUsXX6_9G3rEq&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=C3EPSzFlQw8WJh7ZSAGYoA%3D%3D&jrtk=5-cmh1-1-1jlr0o09biot7801-8188677a509e9d6e&xkcb=SoA36_M3l7Jq1A2mhB0AbzkdCdPP&xpse=SoCd6_I3l8TiFdyvop0ObzkdCdPP&xfps=17a07255-a50c-42c9-b186-5501a58b3f72;;;
Alkami Technology; Software Engineer; ; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4387211670/?trackingId=AAQWbgClEUZ8W72DWlEohA%3D%3D&refId=Vx7jzVY%2FbxUqDivhgiOXxQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=17cYvqYEvtDsc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4387211670_ssid_15257593100_fmid_mw6pip~mnsyo0lv~j4&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4387211670_ssid_15257593100_fmid_mw6pip~mnsyo0lv~j4-null-mw6pip~mnsyo0lv~j4-null-null&eid=mw6pip-mnsyo0lv-j4&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYmM4ZGM2ZDk0NzlkYWQ4YzYyN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkN2U0Yzg2YzgxZGRiOTJmMmJlMTBmMTdmZTNmNGJjZjZmZjNjMGJkODE0YzM5ZjMsMSwx;;;
Indeed; Software Engineer II; 100-210k; 4/10/26; Rejected; 5/29/26;; https://www.glassdoor.com/job-listing/software-engineer-ii-indeed-JV_KO0,20_KE21,27.htm?jl=1010089934187&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos6-age6d-1010089934187&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlrt8jitk3fr800-b762c12c0e5b6a70&cs=1_5da7f766&s=224&t=JA&pos=106&ja=378462087&guid=0000019d77c4b55b990965d64b3ade90&jobListingId=1010089934187&ea=1&vt=e&cb=1775831895923&ctt=1775849427317&srs=EMAIL_JOB_ALERT&gdir=1;;; Rejection Received
